record_id,market,drug_name_raw,active_ingredient,strength,dosage_form,manufacturer,package_image_file,image_source_url,image_direct_url,license,image_author,source_note
185,Yemen / global medicines,Drug-label-HA,,,,,images/b4690cfb5167.jpg,https://commons.wikimedia.org/wiki/File%3ADrug-label-HA.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Drug-label-HA.jpg/1280px-Drug-label-HA.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/w/index.php?title=User:CAES9720&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:CAES9720 (page does not exist)"">CAES9720</a>",Real packaging/photo file from Wikimedia Commons; medication identity and Yemen registration require local verification.
186,Yemen / global medicines,Drug1-page0001 (2),,,,,images/99863ce94f63.jpg,https://commons.wikimedia.org/wiki/File%3ADrug1-page0001_%282%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Drug1-page0001_%282%29.jpg/1280px-Drug1-page0001_%282%29.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/w/index.php?title=User:CAES9720&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:CAES9720 (page does not exist)"">CAES9720</a>",Real packaging/photo file from Wikimedia Commons; medication identity and Yemen registration require local verification.
187,Yemen / global medicines,Drugs 1601,,,,,images/f6c3909a8490.jpg,https://commons.wikimedia.org/wiki/File%3ADrugs_1601.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Drugs_1601.jpg/1280px-Drugs_1601.jpg,CC BY-SA 3.0,"<a href=""//commons.wikimedia.org/wiki/User:Penarc"" title=""User:Penarc"">Penarc</a>",Real packaging/photo file from Wikimedia Commons; medication identity and Yemen registration require local verification.
188,Yemen / global medicines,Dukoral package bicarb buffer,,,,,images/39fd31611d7b.jpg,https://commons.wikimedia.org/wiki/File%3ADukoral_package_bicarb_buffer.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Dukoral_package_bicarb_buffer.jpg/1280px-Dukoral_package_bicarb_buffer.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Dvermeirre"" title=""User:Dvermeirre"">Dvermeirre</a>",Real packaging/photo file from Wikimedia Commons; medication identity and Yemen registration require local verification.
189,Yemen / global medicines,Dukoral package inside,,,,,images/73e66dff4007.jpg,https://commons.wikimedia.org/wiki/File%3ADukoral_package_inside.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Dukoral_package_inside.jpg/1280px-Dukoral_package_inside.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Dvermeirre"" title=""User:Dvermeirre"">Dvermeirre</a>",Real packaging/photo file from Wikimedia Commons; medication identity and Yemen registration require local verification.
190,Yemen / global medicines,Dukoral package vaccine vial,,,,,images/507e6276844d.jpg,https://commons.wikimedia.org/wiki/File%3ADukoral_package_vaccine_vial.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Dukoral_package_vaccine_vial.jpg/1280px-Dukoral_package_vaccine_vial.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Dvermeirre"" title=""User:Dvermeirre"">Dvermeirre</a>",Real packaging/photo file from Wikimedia Commons; medication identity and Yemen registration require local verification.
191,Yemen / global medicines,Dukoral package,,,,,images/57611e8838bc.jpg,https://commons.wikimedia.org/wiki/File%3ADukoral_package.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Dukoral_package.jpg/1280px-Dukoral_package.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Dvermeirre"" title=""User:Dvermeirre"">Dvermeirre</a>",Real packaging/photo file from Wikimedia Commons; medication identity and Yemen registration require local verification.
192,Yemen / global medicines,Dukoral vial bicarb,,,,,images/646ab8bee030.jpg,https://commons.wikimedia.org/wiki/File%3ADukoral_vial_bicarb.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Dukoral_vial_bicarb.jpg/1280px-Dukoral_vial_bicarb.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Dvermeirre"" title=""User:Dvermeirre"">Dvermeirre</a>",Real packaging/photo file from Wikimedia Commons; medication identity and Yemen registration require local verification.
193,Yemen / global medicines,"Duodart 0,5-0,4 mg cps",,,,,images/6d06d33d6d16.jpg,https://commons.wikimedia.org/wiki/File%3ADuodart_0%2C5-0%2C4_mg_cps.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Duodart_0%2C5-0%2C4_mg_cps.jpg/1280px-Duodart_0%2C5-0%2C4_mg_cps.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/w/index.php?title=User:Tomino_de_WS&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Tomino de WS (page does not exist)"">Tomino de WS</a>",Real packaging/photo file from Wikimedia Commons; medication identity and Yemen registration require local verification.
194,Yemen / global medicines,Duphalac 200 ml,,,,,images/23715f41a93e.jpg,https://commons.wikimedia.org/wiki/File%3ADuphalac_200_ml.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Duphalac_200_ml.jpg/1280px-Duphalac_200_ml.jpg,CC BY-SA 4.0,Pavel Dušek,Real packaging/photo file from Wikimedia Commons; medication identity and Yemen registration require local verification.
